PROJ,PROJ Description
epsg:2251,NAD83 / Michigan North (ft)
epsg:2252,NAD83 / Michigan Central (ft)
epsg:2253,NAD83 / Michigan South (ft)
epsg:2254,NAD83 / Mississippi East (ftUS)
epsg:2255,NAD83 / Mississippi West (ftUS)
epsg:2256,NAD83 / Montana (ft)
epsg:2257,NAD83 / New Mexico East (ftUS)
epsg:2258,NAD83 / New Mexico Central (ftUS)
epsg:2259,NAD83 / New Mexico West (ftUS)
epsg:2260,NAD83 / New York East (ftUS)
epsg:2261,NAD83 / New York Central (ftUS)
epsg:2262,NAD83 / New York West (ftUS)
epsg:2263,NAD83 / New York Long Island (ftUS)
epsg:2264,NAD83 / North Carolina (ftUS)
epsg:2265,NAD83 / North Dakota North (ft)
epsg:2266,NAD83 / North Dakota South (ft)
epsg:2267,NAD83 / Oklahoma North (ftUS)
epsg:2268,NAD83 / Oklahoma South (ftUS)
epsg:2269,NAD83 / Oregon North (ft)
epsg:2270,NAD83 / Oregon South (ft)
epsg:2271,NAD83 / Pennsylvania North (ftUS)
epsg:2272,NAD83 / Pennsylvania South (ftUS)
epsg:2273,NAD83 / South Carolina (ft)
epsg:2274,NAD83 / Tennessee (ftUS)
epsg:2275,NAD83 / Texas North (ftUS)
epsg:2276,NAD83 / Texas North Central (ftUS)
epsg:2277,NAD83 / Texas Central (ftUS)
epsg:2278,NAD83 / Texas South Central (ftUS)
epsg:2279,NAD83 / Texas South (ftUS)
epsg:2280,NAD83 / Utah North (ft)
epsg:2281,NAD83 / Utah Central (ft)
epsg:2282,NAD83 / Utah South (ft)
epsg:2283,NAD83 / Virginia North (ftUS)
epsg:2284,NAD83 / Virginia South (ftUS)
epsg:2285,NAD83 / Washington North (ftUS)
epsg:2286,NAD83 / Washington South (ftUS)
epsg:2287,NAD83 / Wisconsin North (ftUS)
epsg:2288,NAD83 / Wisconsin Central (ftUS)
epsg:2289,NAD83 / Wisconsin South (ftUS)
epsg:2759,NAD83(HARN) / Alabama East
epsg:2760,NAD83(HARN) / Alabama West
epsg:2761,NAD83(HARN) / Arizona East
epsg:2762,NAD83(HARN) / Arizona Central
epsg:2763,NAD83(HARN) / Arizona West
epsg:2764,NAD83(HARN) / Arkansas North
epsg:2765,NAD83(HARN) / Arkansas South
epsg:2766,NAD83(HARN) / California zone 1
epsg:2767,NAD83(HARN) / California zone 2
epsg:2768,NAD83(HARN) / California zone 3
epsg:2769,NAD83(HARN) / California zone 4
epsg:2770,NAD83(HARN) / California zone 5
epsg:2771,NAD83(HARN) / California zone 6
epsg:2772,NAD83(HARN) / Colorado North
epsg:2773,NAD83(HARN) / Colorado Central
epsg:2774,NAD83(HARN) / Colorado South
epsg:2775,NAD83(HARN) / Connecticut
epsg:2776,NAD83(HARN) / Delaware
epsg:2777,NAD83(HARN) / Florida East
epsg:2778,NAD83(HARN) / Florida West
epsg:2779,NAD83(HARN) / Florida North
epsg:2780,NAD83(HARN) / Georgia East
epsg:2781,NAD83(HARN) / Georgia West
epsg:2782,NAD83(HARN) / Hawaii zone 1
epsg:2783,NAD83(HARN) / Hawaii zone 2
epsg:2784,NAD83(HARN) / Hawaii zone 3
epsg:2785,NAD83(HARN) / Hawaii zone 4
epsg:2786,NAD83(HARN) / Hawaii zone 5
epsg:2787,NAD83(HARN) / Idaho East
epsg:2788,NAD83(HARN) / Idaho Central
